D	JK-D	V(JK-D)	Z	pvalue	nABBA	nBABA	nBlocks	H1	H2	H3	H4
-0.005263	-0.005263	0.000010	-1.627654	0.103598	14574.589850	14728.810430	10	Cbig_B	Cbig_E	Cbru_B	Cpar
-0.006766	-0.006766	0.000010	-2.167779	0.030176	14604.540480	14803.530020	10	Cbig_B	Cbig_E	Cbru_S	Cpar
0.010348	0.010348	0.000015	2.697503	0.006986	13807.513790	13524.677020	10	Cbig_B	Cbig_E	Cmol_B	Cpar
0.011824	0.011824	0.000012	3.397299	0.000681	14242.987480	13910.115590	10	Cbig_B	Cbig_E	Cmol_E	Cpar
0.002880	0.002880	0.000009	0.982588	0.325810	14569.060720	14485.397430	10	Cbig_B	Cbig_E	Crub	Cpar
-0.177205	-0.177205	0.000033	-30.876433	0.000000	14574.589850	20852.419930	10	Cbig_B	Cbru_B	Cbig_E	Cpar
0.121767	0.121767	0.000015	31.361434	0.000000	19275.389500	15090.715250	10	Cbig_B	Cbru_B	Cbru_S	Cpar
-0.020552	-0.020552	0.000020	-4.557927	0.000005	14929.345970	15555.889050	10	Cbig_B	Cbru_B	Cmol_B	Cpar
-0.025280	-0.025280	0.000023	-5.298833	0.000000	15269.811160	16061.885380	10	Cbig_B	Cbru_B	Cmol_E	Cpar
0.017229	0.017229	0.000033	3.013530	0.002582	16760.079400	16192.341920	10	Cbig_B	Cbru_B	Crub	Cpar
-0.178428	-0.178428	0.000036	-29.747922	0.000000	14604.540480	20948.134660	10	Cbig_B	Cbru_S	Cbig_E	Cpar
0.121212	0.121212	0.000014	32.383775	0.000000	19275.389500	15107.726310	10	Cbig_B	Cbru_S	Cbru_B	Cpar
-0.027063	-0.027063	0.000023	-5.610852	0.000000	14869.487060	15696.702190	10	Cbig_B	Cbru_S	Cmol_B	Cpar
-0.028464	-0.028464	0.000022	-6.067557	0.000000	15256.118980	16150.057470	10	Cbig_B	Cbru_S	Cmol_E	Cpar
0.025535	0.025535	0.000019	5.802298	0.000000	17043.103360	16194.396990	10	Cbig_B	Cbru_S	Crub	Cpar
-0.265250	-0.265250	0.000024	-53.955838	0.000000	13807.513790	23776.746340	10	Cbig_B	Cmol_B	Cbig_E	Cpar
-0.137244	-0.137244	0.000028	-25.869538	0.000000	14929.345970	19679.161580	10	Cbig_B	Cmol_B	Cbru_B	Cpar
-0.142175	-0.142175	0.000021	-30.786247	0.000000	14869.487060	19798.380300	10	Cbig_B	Cmol_B	Cbru_S	Cpar
0.126150	0.126150	0.000023	26.487003	0.000000	20077.094700	15579.064190	10	Cbig_B	Cmol_B	Cmol_E	Cpar
-0.150273	-0.150273	0.000018	-35.189309	0.000000	14594.150260	19756.062150	10	Cbig_B	Cmol_B	Crub	Cpar
-0.232054	-0.232054	0.000022	-49.448758	0.000000	14242.987480	22850.728870	10	Cbig_B	Cmol_E	Cbig_E	Cpar
-0.105804	-0.105804	0.000036	-17.754808	0.000000	15269.811160	18883.366000	10	Cbig_B	Cmol_E	Cbru_B	Cpar
-0.107884	-0.107884	0.000020	-23.889655	0.000000	15256.118980	18945.982360	10	Cbig_B	Cmol_E	Cbru_S	Cpar
0.168822	0.168822	0.000029	31.390797	0.000000	20077.094700	14277.309870	10	Cbig_B	Cmol_E	Cmol_B	Cpar
-0.116747	-0.116747	0.000034	-20.158589	0.000000	14970.340330	18927.841400	10	Cbig_B	Cmol_E	Crub	Cpar
-0.178502	-0.178502	0.000039	-28.520854	0.000000	14569.060720	20900.436380	10	Cbig_B	Crub	Cbig_E	Cpar
0.008330	0.008330	0.000044	1.249553	0.211463	16760.079400	16483.173780	10	Cbig_B	Crub	Cbru_B	Cpar
0.017337	0.017337	0.000026	3.398619	0.000677	17043.103360	16462.232640	10	Cbig_B	Crub	Cbru_S	Cpar
-0.043457	-0.043457	0.000027	-8.319410	0.000000	14594.150260	15920.215470	10	Cbig_B	Crub	Cmol_B	Cpar
-0.045617	-0.045617	0.000035	-7.757318	0.000000	14970.340330	16401.413380	10	Cbig_B	Crub	Cmol_E	Cpar
-0.172102	-0.172102	0.000042	-26.411669	0.000000	14728.810430	20852.419930	10	Cbig_E	Cbru_B	Cbig_B	Cpar
0.127066	0.127066	0.000020	28.679275	0.000000	19468.952480	15079.075710	10	Cbig_E	Cbru_B	Cbru_S	Cpar
-0.029569	-0.029569	0.000005	-13.165825	0.000000	14914.129600	15822.994340	10	Cbig_E	Cbru_B	Cmol_B	Cpar
-0.035564	-0.035564	0.000008	-12.327529	0.000000	15248.949860	16373.558580	10	Cbig_E	Cbru_B	Cmol_E	Cpar
0.014646	0.014646	0.000037	2.414567	0.015754	16851.000050	16364.514380	10	Cbig_E	Cbru_B	Crub	Cpar
-0.171869	-0.171869	0.000038	-27.843392	0.000000	14803.530020	20948.134660	10	Cbig_E	Cbru_S	Cbig_B	Cpar
0.124842	0.124842	0.000017	30.485478	0.000000	19468.952480	15147.374740	10	Cbig_E	Cbru_S	Cbru_B	Cpar
-0.036039	-0.036039	0.000017	-8.697478	0.000000	14879.921130	15992.531860	10	Cbig_E	Cbru_S	Cmol_B	Cpar
-0.038724	-0.038724	0.000015	-9.988902	0.000000	15257.813480	16487.093000	10	Cbig_E	Cbru_S	Cmol_E	Cpar
0.022835	0.022835	0.000025	4.533757	0.000006	17133.617110	16368.582000	10	Cbig_E	Cbru_S	Crub	Cpar
-0.274844	-0.274844	0.000021	-59.875443	0.000000	13524.677020	23776.746340	10	Cbig_E	Cmol_B	Cbig_B	Cpar
-0.133459	-0.133459	0.000015	-34.386041	0.000000	14914.129600	19508.086320	10	Cbig_E	Cmol_B	Cbru_B	Cpar
-0.137070	-0.137070	0.000015	-35.314661	0.000000	14879.921130	19607.056160	10	Cbig_E	Cmol_B	Cbru_S	Cpar
0.117141	0.117141	0.000029	21.675188	0.000000	19871.020170	15703.771210	10	Cbig_E	Cmol_B	Cmol_E	Cpar
-0.152896	-0.152896	0.000009	-50.673457	0.000000	14520.322010	19761.953540	10	Cbig_E	Cmol_B	Crub	Cpar
-0.243210	-0.243210	0.000023	-51.228152	0.000000	13910.115590	22850.728870	10	Cbig_E	Cmol_E	Cbig_B	Cpar
-0.101781	-0.101781	0.000019	-23.337658	0.000000	15248.949860	18704.786560	10	Cbig_E	Cmol_E	Cbru_B	Cpar
-0.102525	-0.102525	0.000012	-29.359334	0.000000	15257.813480	18743.815600	10	Cbig_E	Cmol_E	Cbru_S	Cpar
0.161299	0.161299	0.000038	26.055769	0.000000	19871.020170	14351.023570	10	Cbig_E	Cmol_E	Cmol_B	Cpar
-0.119514	-0.119514	0.000019	-27.331926	0.000000	14875.456420	18913.755440	10	Cbig_E	Cmol_E	Crub	Cpar
-0.181288	-0.181288	0.000047	-26.359474	0.000000	14485.397430	20900.436380	10	Cbig_E	Crub	Cbig_B	Cpar
0.012991	0.012991	0.000040	2.055494	0.039831	16851.000050	16418.796100	10	Cbig_E	Crub	Cbru_B	Cpar
0.023372	0.023372	0.000029	4.340642	0.000014	17133.617110	16350.998460	10	Cbig_E	Crub	Cbru_S	Cpar
-0.052495	-0.052495	0.000031	-9.447375	0.000000	14520.322010	16129.260120	10	Cbig_E	Crub	Cmol_B	Cpar
-0.056027	-0.056027	0.000032	-9.843050	0.000000	14875.456420	16641.243420	10	Cbig_E	Crub	Cmol_E	Cpar
-0.000563	-0.000563	0.000013	-0.157851	0.874575	15090.715250	15107.726310	10	Cbru_B	Cbru_S	Cbig_B	Cpar
-0.002260	-0.002260	0.000017	-0.548659	0.583239	15079.075710	15147.374740	10	Cbru_B	Cbru_S	Cbig_E	Cpar
-0.007241	-0.007241	0.000013	-1.992729	0.046291	13924.183190	14127.300680	10	Cbru_B	Cbru_S	Cmol_B	Cpar
-0.003563	-0.003563	0.000011	-1.068238	0.285413	14357.568470	14460.247790	10	Cbru_B	Cbru_S	Cmol_E	Cpar
0.009255	0.009255	0.000016	2.345653	0.018994	15229.067480	14949.756580	10	Cbru_B	Cbru_S	Crub	Cpar
-0.117022	-0.117022	0.000022	-25.216498	0.000000	15555.889050	19679.161580	10	Cbru_B	Cmol_B	Cbig_B	Cpar
-0.104302	-0.104302	0.000016	-26.032858	0.000000	15822.994340	19508.086320	10	Cbru_B	Cmol_B	Cbig_E	Cpar
-0.246542	-0.246542	0.000024	-50.485514	0.000000	13924.183190	23036.565520	10	Cbru_B	Cmol_B	Cbru_S	Cpar
0.146335	0.146335	0.000044	22.167021	0.000000	20735.259770	15441.360120	10	Cbru_B	Cmol_B	Cmol_E	Cpar
-0.163275	-0.163275	0.000037	-26.922955	0.000000	14671.365000	20397.167580	10	Cbru_B	Cmol_B	Crub	Cpar
-0.080740	-0.080740	0.000031	-14.557939	0.000000	16061.885380	18883.366000	10	Cbru_B	Cmol_E	Cbig_B	Cpar
-0.066458	-0.066458	0.000026	-13.098855	0.000000	16373.558580	18704.786560	10	Cbru_B	Cmol_E	Cbig_E	Cpar
-0.215309	-0.215309	0.000024	-43.633955	0.000000	14357.568470	22236.628210	10	Cbru_B	Cmol_E	Cbru_S	Cpar
0.183380	0.183380	0.000038	29.678328	0.000000	20735.259770	14308.873110	10	Cbru_B	Cmol_E	Cmol_B	Cpar
-0.130383	-0.130383	0.000034	-22.343851	0.000000	15107.255070	19637.350270	10	Cbru_B	Cmol_E	Crub	Cpar
-0.008901	-0.008901	0.000021	-1.937217	0.052719	16192.341920	16483.173780	10	Cbru_B	Crub	Cbig_B	Cpar
-0.001656	-0.001656	0.000022	-0.350126	0.726244	16364.514380	16418.796100	10	Cbru_B	Crub	Cbig_E	Cpar
-0.105855	-0.105855	0.000016	-26.458556	0.000000	15229.067480	18834.902150	10	Cbru_B	Crub	Cbru_S	Cpar
-0.023358	-0.023358	0.000022	-4.955471	0.000001	14671.365000	15373.158660	10	Cbru_B	Crub	Cmol_B	Cpar
-0.020867	-0.020867	0.000021	-4.575457	0.000005	15107.255070	15751.172100	10	Cbru_B	Crub	Cmol_E	Cpar
-0.115556	-0.115556	0.000027	-22.098864	0.000000	15696.702190	19798.380300	10	Cbru_S	Cmol_B	Cbig_B	Cpar
-0.101533	-0.101533	0.000031	-18.232510	0.000000	15992.531860	19607.056160	10	Cbru_S	Cmol_B	Cbig_E	Cpar
-0.239729	-0.239729	0.000030	-43.726872	0.000000	14127.300680	23036.565520	10	Cbru_S	Cmol_B	Cbru_B	Cpar
0.147927	0.147927	0.000048	21.265857	0.000000	20929.685960	15535.514640	10	Cbru_S	Cmol_B	Cmol_E	Cpar
-0.169238	-0.169238	0.000033	-29.362852	0.000000	14734.651610	20737.950140	10	Cbru_S	Cmol_B	Crub	Cpar
-0.079665	-0.079665	0.000029	-14.688115	0.000000	16150.057470	18945.982360	10	Cbru_S	Cmol_E	Cbig_B	Cpar
-0.064055	-0.064055	0.000031	-11.530463	0.000000	16487.093000	18743.815600	10	Cbru_S	Cmol_E	Cbig_E	Cpar
-0.211909	-0.211909	0.000030	-38.881866	0.000000	14460.247790	22236.628210	10	Cbru_S	Cmol_E	Cbru_B	Cpar
0.188248	0.188248	0.000038	30.607772	0.000000	20929.685960	14298.117350	10	Cbru_S	Cmol_E	Cmol_B	Cpar
-0.136994	-0.136994	0.000031	-24.758437	0.000000	15127.268350	19929.882700	10	Cbru_S	Cmol_E	Crub	Cpar
-0.008202	-0.008202	0.000017	-1.979838	0.047722	16194.396990	16462.232640	10	Cbru_S	Crub	Cbig_B	Cpar
0.000537	0.000537	0.000017	0.131172	0.895639	16368.582000	16350.998460	10	Cbru_S	Crub	Cbig_E	Cpar
-0.114997	-0.114997	0.000027	-22.225276	0.000000	14949.756580	18834.902150	10	Cbru_S	Crub	Cbru_B	Cpar
-0.016477	-0.016477	0.000006	-6.594332	0.000000	14734.651610	15228.348270	10	Cbru_S	Crub	Cmol_B	Cpar
-0.017370	-0.017370	0.000007	-6.722787	0.000000	15127.268350	15662.081890	10	Cbru_S	Crub	Cmol_E	Cpar
0.043601	0.043601	0.000012	12.776744	0.000000	15579.064190	14277.309870	10	Cmol_B	Cmol_E	Cbig_B	Cpar
0.045009	0.045009	0.000013	12.582848	0.000000	15703.771210	14351.023570	10	Cmol_B	Cmol_E	Cbig_E	Cpar
0.038066	0.038066	0.000010	12.285652	0.000000	15441.360120	14308.873110	10	Cmol_B	Cmol_E	Cbru_B	Cpar
0.041477	0.041477	0.000008	14.910936	0.000000	15535.514640	14298.117350	10	Cmol_B	Cmol_E	Cbru_S	Cpar
0.040878	0.040878	0.000013	11.407285	0.000000	15258.016170	14059.563960	10	Cmol_B	Cmol_E	Crub	Cpar
0.107518	0.107518	0.000036	17.954498	0.000000	19756.062150	15920.215470	10	Cmol_B	Crub	Cbig_B	Cpar
0.101214	0.101214	0.000041	15.841131	0.000000	19761.953540	16129.260120	10	Cmol_B	Crub	Cbig_E	Cpar
0.140452	0.140452	0.000047	20.534520	0.000000	20397.167580	15373.158660	10	Cmol_B	Crub	Cbru_B	Cpar
0.153188	0.153188	0.000036	25.448691	0.000000	20737.950140	15228.348270	10	Cmol_B	Crub	Cbru_S	Cpar
-0.162830	-0.162830	0.000058	-21.447459	0.000000	15258.016170	21193.400070	10	Cmol_B	Crub	Cmol_E	Cpar
0.071511	0.071511	0.000040	11.371372	0.000000	18927.841400	16401.413380	10	Cmol_E	Crub	Cbig_B	Cpar
0.063915	0.063915	0.000045	9.564892	0.000000	18913.755440	16641.243420	10	Cmol_E	Crub	Cbig_E	Cpar
0.109815	0.109815	0.000041	17.125278	0.000000	19637.350270	15751.172100	10	Cmol_E	Crub	Cbru_B	Cpar
0.119909	0.119909	0.000033	20.740950	0.000000	19929.882700	15662.081890	10	Cmol_E	Crub	Cbru_S	Cpar
-0.202361	-0.202361	0.000048	-29.199677	0.000000	14059.563960	21193.400070	10	Cmol_E	Crub	Cmol_B	Cpar
